P000001,软件开发,某ERP系统开发,2021-01-01,2021-12-31,50,张经理,A,无
P000002,网络运维,某公司网络维护,2021-03-15,2022-03-15,80,李经理,B,需要配备新服务器
P000003,咨询服务,某企业管理咨询,2021-05-01,2021-08-31,100,王经理,C,客户反馈较好
P000004,市场调研,某产品市场调研,2021-04-01,2021-06-30,30,张经理,B,需要加强竞争对手分析
P000005,培训服务,某员工技能培训,2021-07-01,2021-09-30,60,李经理,C,需要购买培训资料
P000006,活动策划,某公司文化活动策划,2021-08-01,2021-10-30,20,王经理,A,已确定主题和方案
P000007,物流配送,某电商平台配送服务,2021-06-15,2021-07-31,90,张经理,B,需要增加配送人员
P000008,财务审计,某公司年度财务审计,2022-01-01,2022-03-31,10,李经理,C,需安排专业审计师
P000009,环境监测,某工厂环境监测,2021-09-01,2022-02-28,70,王经理,A,需定期向政府报告
P000010,法律咨询,某公司法律咨询服务,2021-12-01,2022-01-31,40,张经理,B,需购买法律文献资料
